url,filename,test
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/center_cut_ny_strip_steak.jpg?sfvrsn=2,garlic_shrimp_scampi.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/wild-flounder--dinner.jpg?sfvrsn=2,fried_oyster.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/ny_strip_and_lobster_tail.jpg?sfvrsn=2,wood_grilled_peppercorn_sirloin_and_shrimp.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/imagecomingsoon.jpg?Status=Master&sfvrsn=4,jumbo_coconut_shrimp.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/imagecomingsoon.jpg?sfvrsn=4,new!-chilled-lobster-and-shrimp-cocktail.png,sfvrsn=0
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/maple_glazed_chicken.jpg?sfvrsn=2,wild-flounder-lunch.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/walts_favorite_shrimp.jpg?sfvrsn=2,m_woodgrilled_lobsteshrimpsalmon_us.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/kids/kids_chicken_fingers_ketchup.jpg?sfvrsn=2,crunchy_popcorn_shrimp.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/garlic_shrimp_scampi.jpg?sfvrsn=2,lobster_tacos.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/fried_oyster.jpg?sfvrsn=2,shrimp_wood_grilled_chicken_usa.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/wood_grilled_peppercorn_sirloin_and_shrimp.jpg?sfvrsn=2,kids_popcorn_shrimp.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/jumbo_coconut_shrimp.jpg?sfvrsn=2,new!-lobsterfest-fizz.png,sfvrsn=0
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/new!-chilled-lobster-and-shrimp-cocktail.png?sfvrsn=0,m_woodgrilledcheeseburger_cheese_073.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/wild-flounder-lunch.jpg?sfvrsn=2,1800x614_snowcrablegs.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/m_woodgrilled_lobsteshrimpsalmon_us.jpg?sfvrsn=2,wood_grilled_peppercorn_sirloin.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/crunchy_popcorn_shrimp.jpg?sfvrsn=2,rock_lobster_tail_us.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/lobster_tacos.jpg?sfvrsn=2,kids_macaroni_and_cheese.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/shrimp_wood_grilled_chicken_usa.jpg?sfvrsn=2,coastal_soup_and_salad.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/kids/kids_popcorn_shrimp.jpg?sfvrsn=2,lunch_classic_caesar_salad.jpg,sfvrsn=2
