url,,Status-Code,Status-Text,Type,Size,Title,Date,Level,name,type,,,extra,Links In,Server,Error,Duration,Charset,Description
https://www.redlobster.ca/ResourcePackages/RedLobster/assets/dist/fonts/fontawesome-webfont.ttf?v=4.6.3,https:,,www.redlobster.ca,ResourcePackages,RedLobster,assets,dist,fonts,fontawesome-webfont,ttf,,,v=4.6.3,,Microsoft-IIS/8.5,,00:01.9,,
https://www.redlobster.ca/ResourcePackages/RedLobster/assets/dist/fonts/fontawesome-webfont.svg?v=4.6.3,https:,,www.redlobster.ca,ResourcePackages,RedLobster,assets,dist,fonts,fontawesome-webfont,svg,,,v=4.6.3,,Microsoft-IIS/8.5,,00:03.1,,
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/hand-battered-fish-and-chips.jpg?sfvrsn=2,https:,,www.redlobster.ca,images,default-source,images,menu-items,lunch-dinner,hand-battered-fish-and-chips,jpg,,,sfvrsn=2,,,,00:02.6,utf-8,
"data:image/svg+xml;utf8,<svg version="1.1" xmlns="http://www.w3.org/2000/svg"><filter id="blur"><feGaussianBlur stdDeviation="2" /></filter></svg>""ata:image/svg+xml;utf8,<svg version="1.1" xmlns="http://www.w3.org/2000/svg"><filter id="blur"><feGaussianBl""ta:image/svg+xml;utf8,<svg version="1.1" xmlns="http://www.w3.org/2000/""a:image/svg+xml;utf8,<svg version="""",data:image,"svg+xml;utf8,<svg version="1.1" xmlns="http:""vg+xml;utf8,<svg ",,www.w3.org,2000,"svg"><filter id="blur"><feGaussianBlur stdDeviation="2" ""vg"><filter id="blur"><feGaussianBlur stdDeviation="""g"><filter id="blur"><feGaussianBlur stdDeviation"""><filter id="blur"><feGaussianBlur stdDeviatio""><filter id="blur"><feGaussianBlur stdDeviatio""<filter id="blur"><feGaussianBlur""filter id="blur"><feG""ilter id="""",><,filter><,svg>,,,,,,,,00:00.0,,
https://www.redlobster.ca/ResourcePackages/RedLobster/assets/dist/images/rope.svg,https:,,www.redlobster.ca,ResourcePackages,RedLobster,assets,dist,images,rope,svg,,,,,,,00:02.7,,
https://www.redlobster.ca/images/default-source/navigation/store-locator-bg.jpg,https:,,www.redlobster.ca,images,default-source,navigation,store-locator-bg.jpg,,,,,,,,Microsoft-IIS/8.5,,00:03.1,utf-8,
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/seaside_sampler.jpg?sfvrsn=2,https:,,www.redlobster.ca,images,default-source,images,menu-items,lunch-dinner,seaside_sampler,jpg,,,sfvrsn=2,,,,00:03.5,utf-8,
https://www.redlobster.ca/images/default-source/Headers/image-3.jpg?sfvrsn=0,https:,,www.redlobster.ca,images,default-source,Headers,image-3.jpg?sfvrsn=0,,image-3,jpg,,,sfvrsn=0,,,,00:02.0,utf-8,
https://www.redlobster.ca/images/default-source/Headers/image-3-(2).jpg?sfvrsn=0,https:,,www.redlobster.ca,images,default-source,Headers,image-3-(2).jpg?sfvrsn=0,,image-3-(2),jpg,,,sfvrsn=0,,,,00:02.6,utf-8,
https://www.redlobster.ca/images/default-source/Headers/array.png?sfvrsn=0,https:,,www.redlobster.ca,images,default-source,Headers,array.png?sfvrsn=0,,array,png,,,sfvrsn=0,,Microsoft-IIS/8.5,,00:02.5,utf-8,
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/new-england-clam-chowder.jpg?sfvrsn=2,https:,,www.redlobster.ca,images,default-source,images,menu-items,lunch-dinner,new-england-clam-chowder,jpg,,,sfvrsn=2,,,,00:02.0,utf-8,
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/creamy-potato-bacon-soup.jpg?sfvrsn=2,https:,,www.redlobster.ca,images,default-source,images,menu-items,lunch-dinner,creamy-potato-bacon-soup,jpg,,,sfvrsn=2,,,,00:02.2,utf-8,
https://www.redlobster.ca/images/default-source/Headers/crabfest2.png?sfvrsn=0,https:,,www.redlobster.ca,images,default-source,Headers,crabfest2.png?sfvrsn=0,,crabfest2,png,,,sfvrsn=0,,Microsoft-IIS/8.5,,00:02.7,utf-8,
https://www.redlobster.ca/images/default-source/images/special-menu/lobsterfest/seaport-lobster-and-shrimpde049fc52fd36f18be94ff4100d9e22d.png?sfvrsn=0,https:,,www.redlobster.ca,images,default-source,images,special-menu,lobsterfest,seaport-lobster-and-shrimpde049fc52fd36f18be94ff4100d9e22d,png,,,sfvrsn=0,,,,00:02.8,utf-8,
https://www.redlobster.ca/images/default-source/images/special-menu/lobsterfest/new!-fire-grilled-lobster-and-red-shrimp.png?sfvrsn=0,https:,,www.redlobster.ca,images,default-source,images,special-menu,lobsterfest,new!-fire-grilled-lobster-and-red-shrimp,png,,,sfvrsn=0,,,,00:03.4,utf-8,
https://www.redlobster.ca/images/default-source/images/special-menu/lobsterfest/ultimate-feast.png?sfvrsn=0,https:,,www.redlobster.ca,images,default-source,images,special-menu,lobsterfest,ultimate-feast,png,,,sfvrsn=0,,,,00:02.6,utf-8,
https://www.redlobster.ca/images/default-source/Headers/crabfest1.png?sfvrsn=0,https:,,www.redlobster.ca,images,default-source,Headers,crabfest1.png?sfvrsn=0,,crabfest1,png,,,sfvrsn=0,,Microsoft-IIS/8.5,,00:02.2,utf-8,
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/ultimate_feast_can.jpg?sfvrsn=2,https:,,www.redlobster.ca,images,default-source,images,menu-items,lunch-dinner,ultimate_feast_can,jpg,,,sfvrsn=2,,Microsoft-IIS/8.5,,00:02.6,utf-8,
https://www.redlobster.ca/images/default-source/images/special-menu/lobsterfest/fire-grilled-lobster-shrimp-and-salmon.png?sfvrsn=0,https:,,www.redlobster.ca,images,default-source,images,special-menu,lobsterfest,fire-grilled-lobster-shrimp-and-salmon,png,,,sfvrsn=0,,,,00:03.0,utf-8,
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/pizza_1800x614_core.jpg?sfvrsn=0,https:,,www.redlobster.ca,images,default-source,images,menu-items,lunch-dinner,pizza_1800x614_core,jpg,,,sfvrsn=0,,,,00:02.1,utf-8,
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/admirals_feast.jpg?sfvrsn=2,https:,,www.redlobster.ca,images,default-source,images,menu-items,lunch-dinner,admirals_feast,jpg,,,sfvrsn=2,,,,00:02.7,utf-8,
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/salmon_new_orleans.jpg?sfvrsn=2,https:,,www.redlobster.ca,images,default-source,images,menu-items,lunch-dinner,salmon_new_orleans,jpg,,,sfvrsn=2,,,,00:02.4,utf-8,
