url,Date,Level,name,type,extra
https://www.redlobster.ca/ResourcePackages/RedLobster/assets/dist/images/deadliest-catch-video-poster.jpg,dist,images,deadliest-catch-video-poster,jpg,
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/salmon_new_orleans.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,salmon_new_orleans,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/gift-cards/rl_mobile_giftcard02.png?sfvrsn=4,gift-cards,rl_mobile_giftcard02.png?sfvrsn=4,rl_mobile_giftcard02,png,sfvrsn=4
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/wild-flounder--dinner.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,wild-flounder--dinner,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/work-with-us/rl_desktop_careers-why-2.jpg?sfvrsn=0,work-with-us,rl_desktop_careers-why-2.jpg?sfvrsn=0,rl_desktop_careers-why-2,jpg,sfvrsn=0
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/admirals_feast.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,admirals_feast,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/wild-flounder-lunch.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,wild-flounder-lunch,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/crispy-shrimp-lettuce-wrap.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,crispy-shrimp-lettuce-wrap,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/wood_grilled_salmon_shrimp_linguini_alfredo.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,wood_grilled_salmon_shrimp_linguini_alfredo,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/wood_grilled_shrimp_skewers_can.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,wood_grilled_shrimp_skewers_can,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/ResourcePackages/RedLobster/assets/dist/images/MilitaryMonday_bg.jpg,dist,images,MilitaryMonday_bg,jpg,
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/sailors-platter.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,sailors-platter,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/crunch_fried_fish_scampi.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,crunch_fried_fish_scampi,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/kids/kids_snow_crab.jpg?sfvrsn=2&size=1125,menu-items,kids,kids_snow_crab,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/garlic_shrimp_scampi.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,garlic_shrimp_scampi,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/m_lh_garlicgrilledshrimp.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,m_lh_garlicgrilledshrimp,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/Headers/detailpageimage_pizza_333x227.jpg?sfvrsn=0,detailpageimage_pizza_333x227.jpg?sfvrsn=0,,detailpageimage_pizza_333x227,jpg,sfvrsn=0
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/maple_glazed_chicken_canada.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,maple_glazed_chicken_canada,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/news-press/lobster-lover-s-dream7d599fc52fd36f18be94ff4100d9e22d.jpeg?sfvrsn=0,news-press,lobster-lover-s-dream7d599fc52fd36f18be94ff4100d9e22d.jpeg?sfvrsn=0,lobster-lover-s-dream7d599fc52fd36f18be94ff4100d9e22d,jpeg,sfvrsn=0
https://www.redlobster.ca/images/default-source/images/news-press/lobster-lover-s-dream.jpeg?sfvrsn=0,news-press,lobster-lover-s-dream.jpeg?sfvrsn=0,lobster-lover-s-dream,jpeg,sfvrsn=0
https://www.redlobster.ca/images/default-source/images/navigation/store-locator-bg.jpg,navigation,store-locator-bg.jpg,store-locator-bg,jpg,
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/4coursefeast.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,4coursefeast,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/seasidetrio_1800x614_core.jpg?sfvrsn=0&size=1125,menu-items,lunch-dinner,seasidetrio_1800x614_core,jpg,sfvrsn=0&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/kids/kids_garlic_grilled_shrimp.jpg?sfvrsn=2&size=1125,menu-items,kids,kids_garlic_grilled_shrimp,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/center_cut_ny_strip_steak.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,center_cut_ny_strip_steak,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/wild_flounder_lunch.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,wild_flounder_lunch,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/lh_maple_glazed_chicken_can.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,lh_maple_glazed_chicken_can,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/news-press/new!-lobster-mix-and-match.jpeg?sfvrsn=0,news-press,new!-lobster-mix-and-match.jpeg?sfvrsn=0,new!-lobster-mix-and-match,jpeg,sfvrsn=0
https://www.redlobster.ca/images/default-source/images/menu-items/kids/kids_chicken_fingers_ketchup.jpg?sfvrsn=2&size=1125,menu-items,kids,kids_chicken_fingers_ketchup,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lighter-fare/lighter_fare_peppercorn_sirloin_and_shrimp_ca.jpg?sfvrsn=2&size=1125,menu-items,lighter-fare,lighter_fare_peppercorn_sirloin_and_shrimp_ca,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/nystrip_lobster_can.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,nystrip_lobster_can,jpg,sfvrsn=2&size=1125
