url,,,,,,,,,name,type,extra
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/wood_grilled_salmon_shrimp_linguini_alfredo.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,wood_grilled_salmon_shrimp_linguini_alfredo,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/new!-lobster-mix-and-match.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,special-menu,lobsterfest,new!-lobster-mix-and-match,png,sfvrsn=0
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/new!-stuffed-tilapia-with-langostino-lobster.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,special-menu,lobsterfest,new!-stuffed-tilapia-with-langostino-lobster,png,sfvrsn=0
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/catfish.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,catfish,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/crunch_fried_fish_scampi.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,crunch_fried_fish_scampi,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/wild_flounder_lunch.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,wild_flounder_lunch,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/wood_grilled_shrimp_skewers_can.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,wood_grilled_shrimp_skewers_can,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/new!-lobsterfest-surf-turf.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,special-menu,lobsterfest,new!-lobsterfest-surf-turf,png,sfvrsn=0
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/m_lh_garlicgrilledshrimp.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,m_lh_garlicgrilledshrimp,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/news-press/media-downloads/Teasers/4sweetchilishrimp_crave_582.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,news-press,media-downloads,Teasers,,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/seaside_shrimp_trio.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,seaside_shrimp_trio,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/kids/kids_garlic_grilled_shrimp.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,kids,kids_garlic_grilled_shrimp,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/roasted-carrots-and-butternut-squash-with-bourbon-brown-butter.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,special-menu,lobsterfest,roasted-carrots-and-butternut-squash-with-bourbon-brown-butter,png,sfvrsn=0
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/parmesan_crusted_tilapia.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,parmesan_crusted_tilapia,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/events/summerfest/bg.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,events,summerfest,bg,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/roasted-green-beans-with-mushrooms.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,special-menu,lobsterfest,roasted-green-beans-with-mushrooms,png,sfvrsn=0
https://www.redlobster.com/images/default-source/images/events/big-festival-of-shrimp/big-festival-of-shrimp-teaser.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,events,big-festival-of-shrimp,big-festival-of-shrimp-teaser,png,sfvrsn=0
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/sweet_chili_shrimp.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,sweet_chili_shrimp,jpg,sfvrsn=2
